geography,subsector,elec_heating,elec_cooling,elec_water_heating,elec_ventilation,elec_cooking,elec_lighting,elec_refrigeration,elec_office_equip_pcs,elec_office_equip_nonpcs,elec_other,ng_heating,ng_cooling,ng_water_heating,ng_cooking,ng_other,fuel_oil_heating,fuel_oil_cooling,fuel_oil_water_heating,fuel_oil_other
east_north_central,warehouse,-0.008108543,0.007085144,-0.01095334,-0.009438486,0,-0.012416008,0.006620801,0.003504478,0.028755557,0.010278959,0.005040959,0,0.013037853,0.031695975,0.015378724,-0.003752457,0,0.007564784,0.00792037
east_south_central,assembly,-0.024232395,-0.002452758,-0.02299525,-0.022601583,-0.01467716,-0.031463676,-0.006207811,-0.010050401,0.014880385,-0.006304511,-0.010741612,0.006675668,-0.004351339,4.56E-05,0.007273513,-0.020947869,0,-0.010459671,-0.003406662
east_south_central,education,-0.019688085,-0.00184834,-0.020853087,-0.014505746,-0.013698963,-0.019201769,-0.002289458,-0.003029259,0.022076697,-0.003138645,-0.000218449,-0.006116601,0.002032285,0.008835127,0.000639286,-0.016792332,0,-0.012295524,-0.001262001
east_south_central,food_sales,-0.01627899,0.003773694,-0.014874918,-0.016093725,-0.00589636,-0.018971989,0.00173611,-0.002777417,0.022330635,0.001164571,-0.002644695,-0.018320039,0.000639969,0.022679807,0.022088965,0,0,0,0.004277106
east_south_central,food_service,-0.020539245,0.005354885,-0.0201474,-0.016682169,-0.007013245,-0.016916268,-0.003060439,-0.00278903,0.022346046,0.001742249,0.001610269,-0.022581371,0.001783767,0.008163393,0.011694386,0.001840457,0,5.71E-03,0.004481915
east_south_central,health_care,-0.015709467,0.001835612,-0.019736524,-0.009826481,-0.006216678,-0.015372351,0.001715518,-0.000197039,0.024979921,-0.002386675,0.002078622,0.006247319,0.006721607,0.01221635,0.004522309,-0.011778822,0,-0.003031762,0.007133609
east_south_central,lodging,-0.013113897,0.006485076,-0.01548391,-0.011038024,-0.005591562,-0.018090293,0.003446976,0.001454808,0.026667687,0.006859095,0.004917634,0.017096459,0.008726242,0.016139019,0.018285057,-0.013163676,0,-0.009320232,0.009570738
east_south_central,merc_service,-0.014084437,0.012293291,-0.012371203,-0.005439306,-0.005090905,-0.01864635,-0.001848374,-0.004599349,0.02046785,0.021479991,-0.00540535,0.012199612,0.00060787,0.004231722,0.009233327,-0.012441221,0,0.002504466,0.002698651
east_south_central,office_large,-0.019847043,0.003141424,-0.015057603,-0.017234885,-0.004805625,-0.022021154,-0.000708664,-0.004223914,0.020850733,0.004622298,-0.005551749,-0.004387753,0.000815869,0.009332388,0.030545049,-0.015474882,0,0,0.003016127
east_south_central,office_small,-0.014961774,0.000887143,-0.009488631,-0.015048441,-0.003038318,-0.020832642,-0.001439809,-0.002216669,0.022916558,0.001135403,-0.001531768,-0.010185015,0.002100217,0.006405702,0.011193029,-0.010951798,0,0.012751399,0
east_south_central,other,-0.012066435,0.001629033,-0.01189717,-0.014596972,0,-0.020093251,-0.001784606,-0.000520916,0.02465786,0.010165047,-0.002941924,0.00115821,0.006973483,0.009952693,0.058939749,-0.012314563,0,0,0
east_south_central,warehouse,-0.007590538,0.009484843,-0.007260821,-0.009355787,0,-0.012041087,0.007550294,0.004139235,0.029428355,0.010017392,0.016458585,1.28E-02,0.013710627,0.017271366,0.026524151,-0.007434168,0,0.008374841,0.011442026
middle_atlantic,assembly,-0.014270734,0.002309828,-0.013903218,-0.015710495,-0.008850855,-0.025587516,0.000646214,-0.003563679,0.021533407,0.001319412,-0.009925904,0.020538941,0.000563237,0.007585079,0.059314499,0,0,0,0.004391783
middle_atlantic,education,-0.011034507,-0.000922774,-0.013392037,-0.010025593,-0.009988307,-0.013351261,0.001791594,0.000626142,0.025824815,0.001821915,-0.001598102,-0.028228015,0.003885225,0.019241319,-0.000541128,-0.01306766,0,0,0.007061117
middle_atlantic,food_sales,-0.0144479,0.001495112,-0.008024788,-0.014596222,-0.004006402,-0.016151842,0.003163163,-0.002069166,0.02302831,0.002414056,-0.003458097,-0.03374899,0.001266156,0.015561485,0.074447546,0,0,0,0
